G1,G2,G3,studytime,absences,failures,health,activities,internet
10,10,12,3,17,0,1,no,yes
10,12,10,4,17,0,2,no,yes
9,10,6,1,24,0,5,yes,no
6,4,4,4,19,2,2,yes,yes
10,9,8,2,21,3,5,yes,no
9,10,10,2,27,0,1,no,yes
9,8,6,2,5,2,5,no,no
13,14,17,1,0,1,4,no,no
9,7,7,4,6,1,2,no,no
9,9,5,4,28,3,1,yes,yes
8,8,8,1,28,1,1,yes,no
13,13,15,4,15,3,2,yes,no
10,7,9,4,2,0,1,yes,yes
15,14,15,3,21,0,1,yes,no
9,6,7,4,26,3,1,no,no
11,8,11,4,27,2,2,yes,yes
11,10,9,4,14,0,2,yes,no
14,11,8,4,16,1,4,yes,no
13,11,11,4,7,0,2,yes,yes
13,13,15,4,16,0,1,yes,no
9,9,11,2,7,3,5,no,no
7,9,9,3,10,1,1,yes,yes
13,13,15,4,1,2,4,no,no
13,12,12,4,20,3,2,yes,no
11,12,13,2,27,3,1,no,no
12,10,13,4,22,3,3,yes,no
12,9,5,2,22,0,3,yes,yes
10,7,8,4,24,0,4,no,no
7,8,11,1,16,0,3,no,yes
8,9,7,1,22,3,3,yes,no
14,16,16,3,6,3,4,yes,no
6,8,4,1,13,1,5,yes,no
8,8,7,4,22,3,4,yes,no
8,6,3,2,15,2,5,yes,yes
14,13,9,2,24,2,3,no,yes
11,12,9,1,21,3,3,yes,no
11,10,10,4,8,3,5,yes,no
11,12,8,3,5,3,3,yes,yes
10,7,10,2,4,2,5,no,yes
7,4,4,2,29,2,3,yes,no
7,4,0,3,5,2,1,no,yes
6,6,2,3,3,3,4,no,no
6,8,5,2,22,3,5,yes,no
8,10,7,3,5,2,5,yes,no
15,12,9,4,23,3,1,yes,no
7,7,9,2,14,1,5,yes,no
12,10,9,3,17,0,1,yes,yes
15,16,13,4,24,3,1,yes,no
8,9,10,1,7,0,5,yes,no
11,11,12,3,17,3,2,no,yes
12,13,12,4,27,0,1,yes,no
7,6,6,2,22,2,1,yes,no
9,9,6,2,28,1,1,yes,no
6,5,5,4,18,3,5,yes,no
14,16,13,1,1,3,3,yes,no
11,9,7,2,1,0,2,no,no
10,9,12,3,2,1,1,no,yes
7,8,11,3,23,3,2,no,yes
7,9,8,2,11,3,3,no,yes
13,15,12,1,18,3,1,no,no
9,8,5,2,7,0,4,yes,no
9,6,3,4,1,0,1,yes,no
11,10,6,2,3,2,5,yes,no
10,9,7,1,26,1,3,yes,yes
12,10,11,4,18,2,4,yes,no
10,7,6,3,2,2,2,yes,yes
8,9,12,1,19,2,4,yes,yes
11,12,14,2,9,0,2,no,yes
11,9,6,1,9,0,3,yes,yes
12,14,16,3,0,3,2,no,no
12,13,14,4,9,1,4,yes,yes
12,11,14,2,21,3,5,yes,yes
14,15,18,3,2,2,1,no,yes
8,8,4,4,29,0,4,yes,no
9,6,5,1,1,3,5,yes,no
11,11,8,3,0,1,2,no,no
12,13,10,2,23,1,5,no,yes
7,6,8,1,3,0,4,yes,yes
10,8,6,1,23,3,5,yes,yes
12,14,16,3,29,0,4,no,no
10,10,12,3,16,3,2,yes,no
9,11,7,4,2,2,2,yes,yes
15,13,14,3,11,3,1,no,yes
